label,0_x,0_y,0_z,1_x,1_y,1_z,2_x,2_y,2_z,3_x,3_y,3_z,4_x,4_y,4_z,5_x,5_y,5_z,6_x,6_y,6_z,7_x,7_y,7_z,8_x,8_y,8_z,9_x,9_y,9_z,10_x,10_y,10_z,11_x,11_y,11_z,12_x,12_y,12_z,13_x,13_y,13_z,14_x,14_y,14_z,15_x,15_y,15_z,16_x,16_y,16_z,17_x,17_y,17_z,18_x,18_y,18_z,19_x,19_y,19_z,20_x,20_y,20_z,21_x,21_y,21_z,22_x,22_y,22_z,23_x,23_y,23_z,24_x,24_y,24_z,25_x,25_y,25_z,26_x,26_y,26_z,27_x,27_y,27_z,28_x,28_y,28_z,29_x,29_y,29_z,30_x,30_y,30_z,31_x,31_y,31_z,32_x,32_y,32_z
0,0.445313036,0.063995779,-0.789488912,0.458742797,0.022634983,-0.787534177,0.468618482,0.023393631,-0.787618041,0.478571951,0.024295688,-0.787864029,0.430260509,0.022989333,-0.781963944,0.419688404,0.023968756,-0.782016277,0.408355772,0.024766564,-0.78224498,0.493913025,0.028508306,-0.61519599,0.389718443,0.029311776,-0.587385654,0.461072981,0.093163133,-0.711132944,0.429082692,0.095181532,-0.703147769,0.592189074,0.162227541,-0.428676754,0.322575897,0.210965186,-0.412284523,0.636377931,0.378317147,-0.450537115,0.26707983,0.483373523,-0.322828621,0.615352571,0.422694683,-0.660636067,0.21628575,0.716103435,-0.348917305,0.603940845,0.43654412,-0.707362533,0.185139328,0.790652633,-0.36055553,0.596749961,0.39786005,-0.716618955,0.179249495,0.777777791,-0.418204159,0.58848989,0.389559418,-0.664429247,0.222278267,0.778764606,-0.370092899,0.550819933,0.624536097,-0.00727594,0.417889923,0.634719491,0.007316054,0.549360693,0.912242293,0.060843457,0.418872535,0.901108861,0.17046167,0.543629527,1.015750527,0.822398961,0.439726532,0.983647764,0.823773265,0.539592028,1.026318073,0.893046498,0.449232042,0.992953122,0.889053047,0.545403481,1.1406672,0.766487241,0.422841251,1.103915095,0.746553421
0,0.449984699,0.062937319,-0.86774838,0.462817013,0.016398966,-0.866741061,0.473111719,0.014782012,-0.866810679,0.483525336,0.013852656,-0.867120266,0.431959331,0.019203305,-0.862695992,0.420040131,0.019457459,-0.862741113,0.407230914,0.019679189,-0.862962604,0.498501599,0.014348328,-0.681614697,0.386848569,0.022112131,-0.660539687,0.46905008,0.091101103,-0.783369482,0.433024228,0.093685389,-0.77731216,0.603185296,0.155050755,-0.47118181,0.321386486,0.203065261,-0.47310257,0.653840184,0.405890882,-0.434861273,0.274369836,0.481517613,-0.361907452,0.608855844,0.428053379,-0.596895158,0.233422965,0.70106256,-0.411129892,0.587765396,0.447972238,-0.63487792,0.200830549,0.770602643,-0.426913083,0.580688417,0.400722325,-0.639604986,0.208690166,0.768469036,-0.482642114,0.58794558,0.396363825,-0.597201347,0.234971404,0.748014688,-0.431396574,0.556293964,0.627349854,-0.003536982,0.418119997,0.638639092,0.003655208,0.561673939,0.924028993,0.02292493,0.420757681,0.917057872,0.062251247,0.560618758,0.985386491,0.788704216,0.443337351,0.955453336,0.79700619,0.559226632,0.989116371,0.862477422,0.453449428,0.956189752,0.874122977,0.559663177,1.100306273,0.772838354,0.425656378,1.060593724,0.786975384
0,0.45017451,0.063584268,-0.833779931,0.465742886,0.019900143,-0.835057855,0.478014559,0.019456446,-0.835101247,0.490076125,0.019754827,-0.8353616,0.43222791,0.020788431,-0.829144657,0.420195043,0.020544648,-0.829164684,0.407708824,0.020133257,-0.829353213,0.510076642,0.020776629,-0.658427894,0.392663062,0.020987093,-0.6274575,0.471609592,0.088675804,-0.752190948,0.434851825,0.09172409,-0.743102312,0.612988234,0.148989439,-0.45887652,0.329094261,0.203626662,-0.44821173,0.661428094,0.387848943,-0.488058001,0.28351593,0.484059632,-0.355917484,0.623500645,0.425960839,-0.746610045,0.242378801,0.706756413,-0.416915238,0.612134099,0.44370079,-0.807223618,0.220402986,0.781803727,-0.442541301,0.596750677,0.401694804,-0.81143266,0.231648922,0.777434468,-0.49400568,0.59419018,0.392304778,-0.750154018,0.257479191,0.756160438,-0.436376274,0.565014482,0.623841584,-0.007392305,0.427409977,0.639797032,0.007488179,0.568847477,0.922521412,0.031340919,0.431940615,0.918112159,0.082262218,0.585169792,1.004878998,0.769275486,0.456385911,0.985152662,0.772511303,0.58556968,1.013125658,0.839103103,0.466483593,0.989645183,0.844091773,0.585791051,1.128681064,0.732207835,0.438187778,1.100775361,0.740588248
0,0.467646033,0.08111722,-0.821270823,0.481216818,0.035313964,-0.820869803,0.491375506,0.032898962,-0.820997834,0.50114572,0.031291187,-0.821311593,0.451637745,0.038973033,-0.816090226,0.440949857,0.038325429,-0.816111088,0.429903984,0.03713268,-0.81634891,0.514883876,0.027249038,-0.63245666,0.411019266,0.034306288,-0.605251312,0.484217256,0.100654364,-0.734465063,0.450610727,0.104735918,-0.726397336,0.609970927,0.146746457,-0.427729309,0.345250428,0.204829246,-0.421498358,0.656733274,0.382648826,-0.531574786,0.288307756,0.475140214,-0.330755711,0.631984949,0.41572386,-0.900039196,0.243833348,0.711704493,-0.413332045,0.615268171,0.429482996,-0.97101295,0.218993813,0.781458199,-0.435813606,0.607656062,0.391509652,-0.98244983,0.243744999,0.798001885,-0.495559305,0.604690433,0.382393301,-0.908893764,0.256011337,0.779780686,-0.435231596,0.569003046,0.618895292,-0.002411251,0.435510218,0.635545611,0.002595086,0.576376021,0.925747156,-0.01167439,0.434232175,0.911553025,0.013097796,0.579004526,1.007944226,0.668560445,0.462980449,0.912336707,0.759565115,0.575222075,1.013907194,0.734805703,0.477763742,0.903767169,0.840297699,0.585501432,1.119802237,0.643973112,0.449637711,1.002756357,0.788793921
0,0.469931901,0.060649037,-0.792917013,0.48297444,0.017528713,-0.794664681,0.493781507,0.016530514,-0.794659376,0.504186749,0.016363978,-0.794997573,0.452747047,0.018659294,-0.788839042,0.442042053,0.017912686,-0.788871765,0.430917174,0.017099619,-0.789097667,0.516949117,0.016811371,-0.630571246,0.412138551,0.019703448,-0.601111293,0.486596882,0.084114723,-0.715738952,0.453481257,0.08652132,-0.707409859,0.611538351,0.142004788,-0.412767649,0.341909707,0.201101914,-0.435116589,0.663627863,0.374408573,-0.175420269,0.289772242,0.473457932,-0.350931287,0.624096036,0.404040873,-0.071962133,0.248126775,0.705437839,-0.409014136,0.597020447,0.434142113,-0.065876924,0.225798815,0.777231336,-0.428803861,0.586433232,0.401352197,-0.071650729,0.232112601,0.756433129,-0.481755674,0.59455663,0.392466128,-0.065474421,0.25795117,0.735998869,-0.429834217,0.571218014,0.617476881,-0.005807804,0.433042616,0.629506052,0.005795958,0.571843743,0.907665491,0.007002534,0.43502149,0.896955609,0.094709352,0.572795331,1.033854961,0.737015367,0.469838768,0.956906021,0.779401124,0.569909096,1.044999361,0.803783238,0.483723938,0.962126315,0.849570155,0.570279956,1.1677773,0.677167654,0.449071586,1.077320337,0.738856316
0,0.470372736,0.051874101,-0.715192378,0.487078607,0.011050224,-0.716230571,0.498665869,0.008913219,-0.716258049,0.509673059,0.007831752,-0.716434717,0.454410881,0.010262728,-0.71127367,0.442262709,0.009100378,-0.711294711,0.429348886,0.006653905,-0.71143198,0.52421838,0.00737977,-0.555293441,0.404210031,0.007288277,-0.529397368,0.486430496,0.073735781,-0.640064895,0.452318013,0.07482893,-0.632153809,0.609682322,0.121589489,-0.382353246,0.340135008,0.178158849,-0.369710296,0.663338721,0.36618194,-0.351259053,0.292143345,0.455991328,-0.271921754,0.629032731,0.402445734,-0.490923971,0.244725987,0.688949466,-0.314514577,0.609842956,0.414538682,-0.539344788,0.229814917,0.745108306,-0.339698046,0.602368116,0.370775908,-0.538606048,0.241200015,0.740844309,-0.394406229,0.596707284,0.363467723,-0.491151273,0.26605022,0.718961775,-0.337369978,0.56977123,0.608616114,-0.012811808,0.430992901,0.621165872,0.012979726,0.572561383,0.880482793,0.194524169,0.432990879,0.885554671,0.273373157,0.558186114,0.991105795,0.826673865,0.4740161,0.94426614,0.823151946,0.55391717,1.002100468,0.885279477,0.487723291,0.944446325,0.879684806,0.559022844,1.1219486,0.769057989,0.441255569,1.093889356,0.759185791
0,0.458791018,0.035682082,-0.814925313,0.474928141,-0.008938909,-0.814639866,0.486334145,-0.010074496,-0.814612746,0.497873783,-0.011864901,-0.814797282,0.44316712,-0.009894013,-0.808206916,0.432536185,-0.011846602,-0.808155656,0.420106351,-0.014669597,-0.808375061,0.513934374,-0.019516945,-0.642522693,0.39782536,-0.019355416,-0.613305271,0.47506848,0.058926225,-0.736892104,0.441322267,0.056589723,-0.727838337,0.610516012,0.11017745,-0.411916554,0.329316109,0.149272621,-0.472844988,0.669519603,0.365089804,-0.050229318,0.290644318,0.452958584,-0.397798181,0.618938208,0.399957746,0.186332032,0.238042384,0.655378044,-0.464662611,0.599367559,0.42652145,0.202524632,0.21050325,0.739656985,-0.498856217,0.58960259,0.393893987,0.188770816,0.216673464,0.732879639,-0.561858654,0.586813331,0.387916088,0.189182088,0.244368389,0.711436927,-0.493439585,0.570398808,0.64224118,0.001727084,0.421611965,0.653005421,-0.001557012,0.577277899,0.889774263,0.309284776,0.428485096,0.882878482,0.335215747,0.566946387,1.0298841,0.918127894,0.460734457,0.9709391,0.911902547,0.560025454,1.046396971,0.972931683,0.477161795,0.967062771,0.970723033,0.581876934,1.155607462,0.858232856,0.40542239,1.137414098,0.850183129
0,0.469738573,0.024649024,-0.923551261,0.490098059,-0.018756926,-0.924014688,0.502076983,-0.020107806,-0.923988521,0.512959123,-0.022339642,-0.924297452,0.451589495,-0.030411839,-0.92617768,0.437608778,-0.035099924,-0.926220059,0.423348665,-0.040911734,-0.926447272,0.520970404,-0.042627573,-0.735303044,0.394356459,-0.051594377,-0.747207224,0.486695826,0.043084741,-0.835173965,0.44509086,0.037277937,-0.838282883,0.594658613,0.07371366,-0.507710338,0.314550996,0.125107259,-0.560154438,0.642641187,0.334665567,-0.291977435,0.259191155,0.431029379,-0.474915594,0.599925339,0.362206906,-0.224470139,0.210692406,0.657162845,-0.528014064,0.580312312,0.368473023,-0.238032028,0.190771639,0.738939881,-0.561001241,0.582525611,0.325518399,-0.236439258,0.206295341,0.757280529,-0.618856788,0.574202001,0.326954275,-0.22034511,0.221281409,0.721764803,-0.553552032,0.556310534,0.593253553,-0.003448355,0.407568991,0.607224226,0.003708199,0.556484699,0.880575776,0.202060416,0.414037079,0.863007545,0.332276493,0.53754735,0.983286738,0.955098271,0.440327227,0.918700337,1.034597993,0.529133439,0.994485557,1.025904417,0.452099234,0.915664077,1.1060462,0.547298491,1.119047403,0.924113631,0.400218874,1.056809902,0.993111491
0,0.467678487,0.028879106,-0.815808177,0.486427486,-0.01706022,-0.815861344,0.49707222,-0.018150091,-0.815835357,0.507127345,-0.020231664,-0.816122174,0.454740286,-0.021962285,-0.819985271,0.44279319,-0.02613467,-0.819999814,0.431541026,-0.041480362,-0.82022506,0.51501894,-0.029137075,-0.64413631,0.402865827,-0.044870555,-0.665796041,0.479985058,0.03887713,-0.735236824,0.444972694,0.037402272,-0.741403878,0.588189304,0.074864082,-0.41204375,0.315254331,0.119816236,-0.50044924,0.638313293,0.340800196,-0.043393895,0.266124874,0.410907269,-0.407934099,0.60347122,0.351390749,0.221681714,0.214673549,0.633889019,-0.450461537,0.589323401,0.366977036,0.253544509,0.196059614,0.704961717,-0.475227773,0.596990168,0.308164746,0.249269515,0.211864755,0.719109118,-0.532187402,0.580845594,0.318965226,0.230056003,0.224143773,0.698507369,-0.475341499,0.548129618,0.579076231,0.003129346,0.403165579,0.590751112,-0.00294905,0.549462736,0.854858458,0.210331291,0.409204096,0.84438175,0.332121909,0.53907913,0.969748795,0.891759753,0.440128952,0.892533183,1.026953101,0.532895684,0.98020035,0.953807712,0.454058945,0.887059569,1.096849561,0.543195248,1.105982542,0.838693917,0.427791595,0.995925486,0.99046123
0,0.473538965,0.021596611,-0.832140625,0.491924822,-0.020814419,-0.83083266,0.502502084,-0.020428777,-0.830799401,0.512456656,-0.021278203,-0.83106786,0.458912313,-0.029217601,-0.836213231,0.446675152,-0.034339726,-0.83623296,0.433288038,-0.040609121,-0.836486161,0.517746508,-0.030163527,-0.651283801,0.400412142,-0.050989032,-0.678214729,0.485692412,0.03900671,-0.748803973,0.448778927,0.034207821,-0.756578505,0.586299002,0.077931814,-0.434128523,0.313720614,0.12272647,-0.502379,0.640489399,0.344208837,-0.212167412,0.261481941,0.418672949,-0.420606226,0.602402449,0.342500657,-0.117350318,0.208040431,0.645742297,-0.472490698,0.591152966,0.339435607,-0.118303671,0.188199252,0.719566047,-0.501072466,0.582985222,0.293527961,-0.111274943,0.205185145,0.737097621,-0.557386935,0.582642734,0.289993942,-0.110107794,0.218829677,0.708173215,-0.496943802,0.548491776,0.589754164,-0.008057176,0.404205143,0.602092505,0.008270811,0.54561007,0.860595286,0.251554519,0.40906629,0.853300691,0.380788565,0.534935474,0.971790075,0.903739095,0.440352052,0.898125529,1.054897785,0.532891393,0.983144641,0.962976813,0.456128925,0.898850501,1.122944951,0.528694391,1.099686146,0.848212421,0.423794806,1.001995564,1.022726059
